codigo,titulo,endereco,bairro,modalidade,valor,area,quartos,tipo_imovel,numero_item
844440908447-7,MANAUS - JD PRETOPOLIS,"RUA ANIBAL MELO,N. SN Apto. 104 BL E-04, , COND VALE DO SOL",,Venda Direta,,,2 quartos,,
155551227827-4,MANAUS - CONJ RES DOM PEDRO II,"RUA ANTONIO RAPOSO TAVARES,N. SN QD 12 LT 29, , DOM PEDRO II",,Leilão,"R$ 520.000,00",,2 quartos,Casa,13
144441811187-4,MANAUS - EDIFÍCIO MÔNACO,"AVENIDA GETULIO VARGAS,N. 401 Apto. 1102 PAV 11, , CENTRO",CENTRO,Venda Direta,,,3 quartos,,
000001017164-2,MANAUS - CENTRO,"AVENIDA JOAQUIM NABUCO,N. 638",,Venda Direta,,,,,
844440219041-7,MANAUS - VILLA REAL,"RUA ERNANI BRAGA,N. 261 27, , CIDADE NOVA",CIDADE NOVA,,"R$ 115.813,89",,2 quartos,Casa,6
878770771079-4,MANAUS - COND RES RESERVA  DA CIDADE,"RUA PADRE MONTEIRO DE NORONHA,N. 381 Apto. 201 BLOCO 04, , CIDADE NOVA",CIDADE NOVA,Leilão,"R$ 227.000,00","100,57 m²",2 quartos,Apartamento,6
144440462768-7,MANAUS - NOVO ALEIXO,"RUA RIO AYRAO,N. 89, , CIDADE NOVA",CIDADE NOVA,Leilão,"R$ 328.026,80",,2 quartos,Casa,13
878770348932-5,MANAUS - CONQUISTA MANAUS TORQUATO TAPAJOS,"AVENIDA TORQUATO TAPAJOS,N. 7080 Apto. 304 PAVIMENTO 3 TORRE 25, , COLONIA TERRA NOVA",COLONIA TERRA NOVA,,"R$ 106.074,43","91,3 m²",2 quartos,Apartamento,5
878771406399-5,MANAUS - CONQUISTA RUBI,"AVENIDA TUDE MOUTINHO,N. 634 Apto. 108 BL 03 LT AKAJATUBA, , COLONIA TERRA NOVA",COLONIA TERRA NOVA,Leilão,"R$ 176.166,70","104,32 m²",1 quartos,Apartamento,6
178770100980-8,MANAUS - CONQUISTA RUBI,"RUA TUDE MOUTINHO,N. 634 Apto. 211 BL 06, , COLONIA TERRA NOVA",COLONIA TERRA NOVA,Leilão,"R$ 168.288,13","103,95 m²",2 quartos,Apartamento,3
144440770823-8,MANAUS - Boa Vista,"RUA RAIMUNDO DE CASTRO,N. 748 Apto. 307 BL I, , COMPENSA",COMPENSA,Leilão,"R$ 315.000,00","74,14 m²",3 quartos,Apartamento,4
878770897003-0,MANAUS - SMART ARVOREDO,"RUA WAGNER,N. 1340 Apto. 202 BL 10, , DA PAZ",DA PAZ,,"R$ 117.860,63","90,59 m²",2 quartos,Apartamento,3
855553312747-8,MANAUS - CONJ RES YAEL,"AVENIDA VISCONDE DE CAETE,N. 100 Apto. 101 BL 07, , FLORES",FLORES,,,,2 quartos,,
155552890910-4,MANAUS - JAPIIM,"RUA PROJETADA,N. 47 LT 01, QD 35",,,"R$ 109.933,58",,,,7
844440663931-1,MANAUS - JORGE TEIXEIRA,"RUA FILODENDRO,N. 482 ANTIGA RUA LAÇO DE AMOR, Nº 65B, LT 11",,Venda Direta,,,2 quartos,Casa,
878771296068-0,MANAUS - VILA DAS FLORES,"AVENIDA DAS TORRES (ANTIGA AVENIDA TORRES),N. 8292 Apto. 204 BL 05, , LAGO AZUL",LAGO AZUL,Leilão,"R$ 127.809,68","82,98 m²",2 quartos,Apartamento,11
