codigo,titulo,endereco,bairro,modalidade,valor,area,quartos,tipo_imovel,numero_item
878771259229-0,SAO PAULO - RESIDENCIAL CEREJEIRAS,"RUA CARMEM SILVA,N. 55 Apto. 808 TORRE 01, , GUAIANASES",GUAIANASES,Leilão,"R$ 197.857,57","70,86 m²",2 quartos,Apartamento,533
878771167939-1,SAO PAULO - TAMAREIRAS,"AVENIDA ADRIANO BERTOZZI,N. 700/752 Apto. 54 BL 02, , VILA CARMOSINA",VILA CARMOSINA,Leilão,"R$ 201.673,36","82,82 m²",2 quartos,Apartamento,539
178770203667-1,SAO PAULO - VIBRA CAMBUCI,"AVENIDA DO ESTADO,N. 5588 Apto. 911 TORRE B, , CAMBUCI",CAMBUCI,Leilão,"R$ 275.128,84","49,74 m²",1 quartos,Apartamento,534
878770836851-8,SAO PAULO - COND RES DEZ SÃO MIGUEL,"AVENIDA NORDESTINA,N. 2780 Apto. 605 TORRE 1, , SÃO MIGUEL PAULISTA",,Leilão,"R$ 186.030,81","53,49 m²",2 quartos,Apartamento,535
878770851783-1,SAO PAULO - COND RES DEZ SÃO MIGUEL,"AVENIDA NORDESTINA,N. 2780 Apto. 208 TORRE 02, , SÃO MIGUEL PAULISTA",,Leilão,"R$ 193.625,46","61,69 m²",2 quartos,Apartamento,536
878770877598-9,SAO PAULO - COND RES DEZ SÃO MIGUEL,"AVENIDA NORDESTINA,N. 2780 Apto. 308 TORRE 01, , SÃO MIGUEL PAULISTA",,Leilão,"R$ 149.666,65","57,09 m²",2 quartos,Apartamento,537
878770881290-6,SAO PAULO - COND RES DEZ S MIGUEL,"AVENIDA NORDESTINA,N. 2780 Apto. 510 TORRE 01, , SÃO MIGUEL PAULISTA",,Leilão,"R$ 131.080,87","52,98 m²",1 quartos,Apartamento,538
878770884855-2,SAO PAULO - COND RES DEZ SÃO MIGUEL,"AVENIDA NORDESTINA,N. 2780 Apto. 1501 TORRE 01, , SÃO MIGUEL PAULISTA",,Leilão,"R$ 147.730,65","52,98 m²",2 quartos,Apartamento,539
878770886864-2,SAO PAULO - RESIDENCAL  DEZ SAO MIGUEL,"AVENIDA NORDESTINA,N. 2780 Apto. 809 TR 02, , DIST S MIGUEL PAULIS",,Leilão,"R$ 206.000,00","61,69 m²",2 quartos,Apartamento,549
878770887629-7,SAO PAULO - COND RES DEZ SÃO MIGUEL,"AVENIDA NORDESTINA,N. 2780 Apto. 1312 TORRE 1, , DT S MIGUEL PAULISTA",,Leilão,"R$ 220.000,00","53,49 m²",2 quartos,Apartamento,540
878770903081-2,SAO PAULO - COND RES DEZ SÃO MIGUEL,"AVENIDA NORDESTINA,N. 2780 Apto. 806 TORRE 02, , SÃO MIGUEL PAULISTA",,Leilão,"R$ 166.853,13","60,24 m²",2 quartos,Apartamento,540
878771040663-4,SAO PAULO - COND RES DEZ NORDESTINA,"AVENIDA NORDESTINA,N. 2800 Apto. 407 TORRE 02, , SÃO MIGUEL PAULISTA",,Leilão,"R$ 159.388,95","56,73 m²",2 quartos,Apartamento,541
